Time,Temperature (°C),Humidity (%),Air Quality,Health Score,AQI Status
00:30:16,29,63.3,162,71,Moderate
00:30:23,28.9,63.4,159,71,Moderate
00:30:29,28.9,63.4,154,72,Moderate
00:30:38,28.9,63.4,154,72,Moderate
00:30:45,28.9,63.3,158,71,Moderate
00:30:52,28.9,63.3,154,72,Moderate
00:30:59,28.9,63.3,163,71,Moderate
00:31:05,28.9,63.3,155,72,Moderate
00:31:13,28.9,63.3,158,71,Moderate
00:31:20,28.9,63.3,158,71,Moderate
00:31:26,28.9,63.3,156,72,Moderate
00:31:33,28.9,63.3,155,72,Moderate
00:31:40,28.9,63.2,162,71,Moderate
00:31:46,28.9,63.3,160,71,Moderate
00:31:52,28.9,63.3,156,72,Moderate
00:31:59,28.9,63.2,153,72,Moderate
00:32:05,28.9,63.2,154,72,Moderate
00:32:11,29,63.1,154,72,Moderate
00:32:18,28.9,63.2,163,71,Moderate
00:32:24,28.9,63.2,163,71,Moderate
00:32:31,28.9,63.2,155,72,Moderate
00:32:38,28.9,63.2,152,72,Moderate
00:32:46,28.9,63.2,151,72,Moderate
00:32:53,28.9,63.2,154,72,Moderate
00:33:00,28.9,63.2,158,71,Moderate
00:33:06,28.9,63.2,160,71,Moderate
00:33:13,28.9,63.2,153,72,Moderate
00:33:19,28.9,63.2,150,72,Moderate
00:33:26,28.9,63.2,156,72,Moderate
00:33:32,28.9,63.2,155,72,Moderate
00:33:39,28.9,63.2,155,72,Moderate
00:33:45,29,63.1,153,72,Moderate
00:33:52,28.9,63.1,152,72,Moderate
00:33:59,29,63,152,72,Moderate
00:34:06,28.9,63.1,149,72,Moderate
00:34:14,29,63,157,72,Moderate
00:34:21,29,63,156,72,Moderate
00:34:28,28.9,63.1,157,72,Moderate
00:34:34,28.9,63.1,158,72,Moderate
00:34:41,28.9,63.1,152,72,Moderate
00:34:48,28.9,63.1,156,72,Moderate
00:34:54,28.9,63.1,160,71,Moderate
00:35:02,28.9,63.1,156,72,Moderate
00:35:08,28.9,63.1,153,72,Moderate
00:35:15,28.9,63.1,156,72,Moderate
00:35:21,28.9,63,154,72,Moderate
00:35:27,28.9,63,154,72,Moderate
00:35:34,29,62.9,153,72,Moderate
00:35:40,28.9,63,147,72,Moderate
00:35:47,28.9,63,154,72,Moderate
00:35:53,29,62.9,152,72,Moderate
00:36:01,29,62.9,154,72,Moderate
00:36:08,28.9,63,153,72,Moderate
00:36:14,28.9,63,155,72,Moderate
00:36:21,28.9,63,158,72,Moderate
00:36:27,28.9,63,154,72,Moderate
00:36:34,28.9,63,153,72,Moderate
00:36:40,29,62.9,152,72,Moderate
00:36:47,29,62.9,150,72,Moderate
00:36:53,29,62.9,152,72,Moderate
00:37:00,29,62.9,150,72,Moderate
00:37:06,29,62.9,148,72,Moderate
00:37:14,29,62.8,152,72,Moderate
00:37:20,29,62.8,151,72,Moderate
00:37:27,29,62.8,150,72,Moderate
00:37:35,29,62.8,157,72,Moderate
00:37:42,28.9,62.9,158,72,Moderate
00:37:48,29,62.8,151,72,Moderate
00:37:55,28.9,62.9,150,72,Moderate
00:38:01,28.9,62.9,150,72,Moderate
00:38:08,28.9,62.9,152,72,Moderate
00:38:14,29,62.8,147,72,Moderate
00:38:22,28.9,62.8,150,72,Moderate
00:38:28,28.9,62.9,154,72,Moderate
00:38:35,28.9,62.8,155,72,Moderate
00:38:41,28.9,62.8,150,72,Moderate
00:38:47,28.9,62.9,153,72,Moderate
00:38:54,28.9,62.9,151,72,Moderate
00:39:00,28.9,62.8,154,72,Moderate
00:39:08,28.9,62.9,156,72,Moderate
00:39:14,28.9,62.8,153,72,Moderate
00:39:22,28.9,62.9,153,72,Moderate
00:39:28,29,62.7,155,72,Moderate
00:39:34,28.9,62.8,152,72,Moderate
00:39:42,29,62.7,150,72,Moderate
00:39:49,28.9,62.8,145,73,Moderate
00:39:55,29,62.7,150,72,Moderate
00:40:02,28.9,62.8,147,72,Moderate
00:40:08,29,62.7,149,72,Moderate
00:40:14,28.9,62.8,149,72,Moderate
00:40:21,29,62.7,150,72,Moderate
00:40:27,29,62.7,148,72,Moderate
00:40:35,29,62.6,147,72,Moderate
00:40:42,29,62.6,151,72,Moderate
00:40:48,29,62.6,151,72,Moderate
00:40:55,29,62.6,148,72,Moderate
