Time,Temperature (°C),Humidity (%),Air Quality,Health Score,AQI Status
20:44:24,28.4,62.5,1267,69,Moderate
20:44:30,28.5,62.4,1273,69,Moderate
20:44:37,28.4,62.6,1312,68,Moderate
20:44:43,28.4,62.6,1277,69,Moderate
20:45:30,28.4,62.6,1274,69,Moderate
20:45:36,28.5,62.6,1239,69,Moderate
20:45:43,28.5,62.6,1296,69,Moderate
20:46:22,28.4,62.9,1269,69,Moderate
20:47:03,30.5,95,1264,45,Moderate
20:47:19,28.9,68,1265,65,Moderate
20:47:56,28.6,64.6,1259,67,Moderate
20:48:13,28.5,64.5,1243,68,Moderate
20:50:55,28.4,64.7,1263,68,Moderate
20:51:13,28.4,64.8,1233,68,Moderate
20:51:42,28.4,65.1,1258,67,Moderate
20:52:01,28.4,65.1,1244,68,Moderate
20:52:39,28.4,65.5,1280,67,Moderate
20:53:17,28.5,65.6,1201,68,Moderate
20:57:19,28.5,67.5,1245,66,Moderate
20:59:03,28.5,67.8,1260,65,Moderate
20:59:10,28.5,67.8,1253,66,Moderate
21:00:38,28.5,68.1,1265,65,Moderate
21:03:34,28.5,68.6,1245,65,Moderate
21:04:11,28.6,69.6,1243,64,Moderate
21:04:18,28.6,69.7,1283,64,Moderate
21:04:56,28.6,70,1279,64,Moderate
21:05:33,28.6,70.1,1294,63,Moderate
21:06:01,28.6,70.5,1281,63,Moderate
21:06:19,28.6,70.5,1275,63,Moderate
21:06:29,28.6,70.6,1284,63,Moderate
21:06:35,28.6,70.5,1264,63,Moderate
21:06:42,28.6,70.6,1266,63,Moderate
21:06:58,28.6,70.6,1280,63,Moderate
21:07:10,28.6,70.6,1245,64,Moderate
21:07:28,28.6,70.7,1258,63,Moderate
21:10:08,28.7,71.5,1273,63,Moderate
21:12:16,28.7,72,1268,62,Moderate
21:12:44,28.7,72.2,1257,62,Moderate
21:13:02,28.7,72.3,1298,62,Moderate
21:13:10,28.7,72.3,1291,62,Moderate
21:13:20,28.7,72.3,1322,62,Moderate
21:13:26,28.7,72.3,1286,62,Moderate
21:13:33,28.7,72.4,1314,62,Moderate
21:13:49,28.7,72.5,1297,62,Moderate
21:13:56,28.7,72.5,1285,62,Moderate
21:14:25,28.7,72.6,1278,62,Moderate
21:14:33,28.7,72.7,1274,62,Moderate
21:14:40,28.7,72.8,1292,62,Moderate
21:14:47,28.7,72.8,1299,61,Moderate
21:14:58,28.7,72.8,1268,62,Moderate
21:15:25,28.8,72.6,1280,62,Moderate
21:15:31,28.8,72.6,1297,61,Moderate
21:15:52,28.8,72.5,1279,62,Moderate
21:16:09,28.9,72.6,1255,62,Moderate
21:16:15,28.9,72.5,1310,61,Moderate
21:16:32,28.9,72.7,1138,63,Moderate
21:16:41,29.6,90.9,1738,43,Moderate
21:19:14,28.8,73.3,1293,61,Moderate
21:19:23,28.8,73.3,1302,61,Moderate
21:20:38,28.7,72.9,1360,61,Moderate
21:20:45,28.7,72.9,1332,61,Moderate
21:20:52,28.7,72.8,1393,60,Moderate
21:20:58,28.7,72.8,1424,60,Moderate
21:21:08,28.7,72.8,1365,61,Moderate
21:21:15,28.7,72.8,1328,61,Moderate
21:21:22,28.7,72.8,1365,61,Moderate
21:21:29,28.7,72.8,1385,60,Moderate
21:21:38,28.7,72.8,1339,61,Moderate
21:21:45,28.7,72.8,1358,61,Moderate
21:21:52,28.7,72.8,1360,61,Moderate
21:21:59,28.7,72.7,1330,61,Moderate
21:22:10,28.7,72.6,1376,61,Moderate
21:22:18,28.7,72.6,1350,61,Moderate
21:22:25,28.7,72.5,1304,62,Moderate
21:22:32,28.7,72.5,1309,62,Moderate
21:22:41,28.8,72.3,1369,61,Moderate
21:22:48,28.7,72.4,1409,60,Moderate
21:22:55,28.8,72.2,1394,61,Moderate
21:23:02,28.8,72.2,1360,61,Moderate
21:23:11,28.8,72.2,1281,62,Moderate
21:23:18,28.8,72.2,1347,61,Moderate
21:23:25,28.8,72.1,1342,61,Moderate
21:23:32,28.8,72,1296,62,Moderate
21:23:39,28.8,71.9,1289,62,Moderate
21:23:46,28.8,71.9,1286,62,Moderate
21:23:52,28.8,71.9,1299,62,Moderate
21:24:09,28.8,71.7,1303,62,Moderate
21:24:16,28.8,71.7,1289,62,Moderate
21:24:44,28.8,71.4,1199,63,Moderate
21:24:51,28.7,71.4,1291,62,Moderate
21:24:58,28.7,71.4,1319,62,Moderate
21:25:05,28.7,71.3,1294,62,Moderate
21:25:32,28.7,71.2,1287,63,Moderate
21:25:39,28.7,71.1,1280,63,Moderate
21:25:46,28.7,71.1,1287,63,Moderate
21:25:52,28.7,71.1,1335,62,Moderate
21:25:59,28.6,71.1,1321,62,Moderate
21:26:37,28.6,71.1,1293,63,Moderate
21:26:47,28.6,71.1,1271,63,Moderate
21:26:54,28.6,71.1,1295,63,Moderate
21:27:00,28.6,71,1302,63,Moderate
21:27:24,28.6,70.9,1302,63,Moderate
21:27:31,28.5,70.9,1289,63,Moderate
21:27:37,28.5,70.9,1247,64,Moderate
21:28:15,28.5,70.8,1267,63,Moderate
21:28:22,28.5,70.8,1296,63,Moderate
21:28:29,28.5,70.7,1325,63,Moderate
21:28:36,28.5,70.7,1301,63,Moderate
21:28:43,28.5,70.6,1346,63,Moderate
21:28:51,28.5,70.6,1345,63,Moderate
21:28:58,28.5,70.6,1312,63,Moderate
21:29:05,28.5,70.6,1329,63,Moderate
21:29:12,28.5,70.5,1335,63,Moderate
21:29:21,28.5,70.5,1301,63,Moderate
21:29:28,28.5,70.5,1303,63,Moderate
21:29:36,28.5,70.5,1298,63,Moderate
21:29:43,28.5,70.5,1301,63,Moderate
21:29:51,28.5,70.5,1286,63,Moderate
21:29:58,28.5,70.5,1328,63,Moderate
21:30:05,28.5,70.5,1318,63,Moderate
21:30:12,28.5,70.5,1312,63,Moderate
21:30:22,28.5,70.4,1298,63,Moderate
21:30:29,28.5,70.3,1255,64,Moderate
21:30:36,28.5,70.3,1351,63,Moderate
21:30:44,28.5,70.2,1280,64,Moderate
21:30:54,28.5,70.2,1327,63,Moderate
21:31:01,28.5,70.2,1359,63,Moderate
21:31:19,28.5,70.2,1346,63,Moderate
21:31:26,28.5,70.1,1294,64,Moderate
21:31:33,28.4,70.2,1328,63,Moderate
21:31:40,28.4,70.2,1296,64,Moderate
21:31:47,28.4,70.1,1346,63,Moderate
21:31:56,28.5,70,1350,63,Moderate
21:32:03,28.4,70.1,1331,63,Moderate
21:32:10,28.4,70,1347,63,Moderate
21:32:17,28.4,70,1342,63,Moderate
21:32:27,28.5,69.8,1302,64,Moderate
21:32:34,28.4,69.9,1314,64,Moderate
21:32:41,28.4,69.9,1335,63,Moderate
21:32:48,28.4,69.9,1340,63,Moderate
21:32:57,28.4,69.8,1382,63,Moderate
21:33:04,28.5,69.7,1341,63,Moderate
21:33:11,28.4,69.7,1346,63,Moderate
21:33:18,28.4,69.7,1310,64,Moderate
